Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
1991,99758,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2016,100,EC dollar,1993,Western calendar year,301918000,1989,11.5189,4152745.6,1990,Gross National Income (GNI),226024032.2,Gross Domestic Product (GDP),3149588966,2018,Total Value Added,2569590163,1983,0,2012,All Commodities,Export,38048415.66,,No Quantity,32878BGDZF...,2007,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,1577570,2022,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,9569.259,5706,Weight in kilograms,5706
1990,101040,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2016,100,EC dollar,1993,Western calendar year,2598620000,1988,10.5893,3584944.8,1989,Gross National Income (GNI),206772330.4,Final consumption expenditure,2397394987,2017,"Agriculture, hunting, forestry, fishing (ISIC A-B)",151387009.2,1982,0,2012,All Commodities,Import,331594911,,No Quantity,32878BFDZF...,2007,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-2607300,2022,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,927.407,73,Weight in kilograms,73
1989,102173,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2016,100,EC dollar,1993,Western calendar year,83538000,1987,4.2032,3244475.4,1988,Gross National Income (GNI),190589877.8,Household consumption expenditure (including Non-profit institutions serving households),2042676043,2017,"Mining, Manufacturing, Utilities (ISIC C-E)",199513501.4,1981,0,2011,All Commodities,Import,335100389.3,,No Quantity,32878BDDZF...,2007,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2022,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,40452.963,50081,Weight in kilograms,50081
1988,103174,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2016,100,EC dollar,1993,Western calendar year,117529000,1986,3.4167,2118582.4,1987,Gross National Income (GNI),171725885.2,General government final consumption expenditure,354718944,2017,Manufacturing (ISIC D),98833803.59,1980,0,2011,All Commodities,Re-Export,3168299.795,,No Quantity,32878BEDZF...,2007,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,174243000,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,75210.741,61022,Weight in kilograms,61022
1987,104060,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2016,100,EC dollar,1993,Western calendar year,33991000,1985,2.7581,0,1986,Gross National Income (GNI),148369489.3,Gross capital formation,689757383,2017,Construction (ISIC F),209232452.9,1979,0,2011,All Commodities,Export,31326420.16,,No Quantity,32878BCDZF...,2007,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,38830900,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,97545.185,90000,Weight in kilograms,90000
1986,104846,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2016,100,EC dollar,1993,Western calendar year,2682160000,1984,3.3004,,1985,Gross National Income (GNI),131547071.5,Gross fixed capital formation (including Acquisitions less disposals of valuables),689757383,2017,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",357040052.4,1978,0,2010,All Commodities,Import,317070512.9,,No Quantity,32878BBDZF...,2007,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2037040,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,2904.815,2576,Weight in kilograms,2576
1985,105549,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2016,100,EC dollar,1993,Western calendar year,2311410000,1983,4.3138,,1984,Gross National Income (GNI),115921143.3,Exports of goods and services,1560955245,2017,"Transport, storage and communication (ISIC I)",297179740.1,1977,0,2010,All Commodities,Export,24914821.75,,No Quantity,32878BADZF...,2007,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,40867900,2022,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,3446785.922,3067844,Weight in kilograms,3067844
1984,106200,1.3,,"Equals: SAVING, GROSS",B.8g,2016,100,EC dollar,1993,Western calendar year,370747000,1982,4.4033,,1983,Gross National Income (GNI),106568013.3,Imports of goods and services,1662447041,2017,Other Activities (ISIC J-P),1260580009,1976,0,2010,All Commodities,Re-Export,2330108.411,,No Quantity,32878ALDZF...,2007,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-260703000,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,1977768.517,1592497,Weight in kilograms,1592497
1983,106823,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2016,100,EC dollar,1993,Western calendar year,32375000,1981,5.8792,,1982,Gross National Income (GNI),100049807.4,Gross Domestic Product (GDP),3039352137,2017,Total Value Added,2441901035,1975,0,2009,All Commodities,Import,281828217,,No Quantity,32878AKDZF...,2007,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-14131700,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,359728.148,317425,Weight in kilograms,317425
1982,107432,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2016,100,EC dollar,1993,Western calendar year,75364000,1980,4.6433,,1981,Gross National Income (GNI),90558393.33,Final consumption expenditure,2311412579,2016,"Agriculture, hunting, forestry, fishing (ISIC A-B)",178917579.5,1970,0,2008,All Commodities,Import,363304298,,No Quantity,32878AJDZF...,2007,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,38504400,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,6202.963,6468,Weight in kilograms,6468
