Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,3263,1000,Weight in kilograms,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,2680,1290,Weight in kilograms,1290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; flat-rolled, width less than 600mm, hot-rolled, of a thickness of less than 4.75mm",Import,487,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; bars and rods, hot-rolled, in irregularly wound coils",Import,18176,42000,Weight in kilograms,42000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,849,30,Weight in kilograms,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,3653,500,Weight in kilograms,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, stainless; angles, shapes and sections",Import,86,25,Weight in kilograms,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",Import,15007,12802,Weight in kilograms,12802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,6646,3600,Weight in kilograms,3600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, of high speed steel",Import,45,18,Weight in kilograms,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, forged",Import,93,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, forged",Re-Export,2261,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, forged",Export,2261,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods, cold-formed or cold-finished",Import,1363,500,Weight in kilograms,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,2899,1280,Weight in kilograms,1280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; angles, shapes and sections",Import,6371,4365,Weight in kilograms,4365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,109,15,Weight in kilograms,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; wire, of silico-manganese steel",Import,16,42,Weight in kilograms,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,433,93,Weight in kilograms,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Ferrous waste and scrap; of cast iron,Export,2407,8950,Weight in kilograms,8950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Ferrous waste and scrap; turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles",Export,34259,90900,Weight in kilograms,90900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Import,78,9,Weight in kilograms,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; semi-finished products of iron or non-alloy steel; containing by weight less than 0.25% of carbon, of rectangular (including square) cross-section, width less than twice thickness",Import,56,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,541530,376043,Weight in kilograms,376043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 3mm or more but less than 4.75mm",Import,15260,500,Weight in kilograms,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,69657,2612,Weight in kilograms,2612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more",Import,148,100,Weight in kilograms,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,201,130,Weight in kilograms,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with tin, thickness of 0.5mm or more",Import,7865,7870,Weight in kilograms,7870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,300814,44759,Weight in kilograms,44759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,290043,329290,Weight in kilograms,329290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,346508,283220,Weight in kilograms,283220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,16836,13919,Weight in kilograms,13919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,34783,16940,Weight in kilograms,16940
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Import,2827,2465,Weight in kilograms,2465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Export,1939,900,Weight in kilograms,900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,981532,572960,Weight in kilograms,572960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,376426,317460,Weight in kilograms,317460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,86490,27165,Weight in kilograms,27165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,2687,3552,Weight in kilograms,3552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with tin",Import,1836,90,Weight in kilograms,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,1284,570,Weight in kilograms,570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,9986,4358,Weight in kilograms,4358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,15657,1132,Weight in kilograms,1132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,366,70,Weight in kilograms,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,310700,81700,Weight in kilograms,81700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,148,200,Weight in kilograms,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,141053,445130,Weight in kilograms,445130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,718416,1392011,Weight in kilograms,1392011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,219554,455244,Weight in kilograms,455244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Re-Export,101,27,Weight in kilograms,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Export,101,27,Weight in kilograms,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,541918,1318600,Weight in kilograms,1318600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Export,11520,26090,Weight in kilograms,26090
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,79527,111630,Weight in kilograms,111630
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,200514,308776,Weight in kilograms,308776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,81981,30978,Weight in kilograms,30978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; L or T sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,591,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,29613,40982,Weight in kilograms,40982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,5345,9200,Weight in kilograms,9200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,821,2091,Weight in kilograms,2091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,939,270,Weight in kilograms,270
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,72105,112910,Weight in kilograms,112910
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,25739,25998,Weight in kilograms,25998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,840,553,Weight in kilograms,553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,652,700,Weight in kilograms,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,76759,43177,Weight in kilograms,43177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,442,18,Weight in kilograms,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,2949,448,Weight in kilograms,448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; flat-rolled, width less than 600mm, hot-rolled, of a thickness of 4.75mm or more",Import,1814,924,Weight in kilograms,924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; flat-rolled, width less than 600mm, n.e.c. in heading no 7220",Import,1741,2906,Weight in kilograms,2906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, of circular cross-section",Import,34,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,4528,963,Weight in kilograms,963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; bars and rods, cold-formed or cold-finished",Import,99,7,Weight in kilograms,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,38764,31155,Weight in kilograms,31155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; angles, shapes and sections",Import,30,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, stainless; wire",Import,249,125,Weight in kilograms,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; ingots and other primary forms",Import,26,30,Weight in kilograms,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; flat-rolled, width 600mm or more, hot-rolled, not in coils",Import,11952,28000,Weight in kilograms,28000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",Import,217,275,Weight in kilograms,275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,24989,400,Weight in kilograms,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; bars and rods, of high speed steel",Import,40,45,Weight in kilograms,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; bars and rods, cold-formed or cold-finished",Import,4330,10000,Weight in kilograms,10000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,582,281,Weight in kilograms,281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; angles, shapes and sections",Import,1516,198,Weight in kilograms,198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,129,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; wire, of silico-manganese steel",Import,72,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,254,113,Weight in kilograms,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,416,3400,Weight in kilograms,3400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Ferrous waste and scrap; turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles",Export,2778,7250,Weight in kilograms,7250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,457,3088,Weight in kilograms,3088
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Ferrous products; remelting scrap ingots,Export,67,545,Weight in kilograms,545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or steel, pig iron, spiegeleisen; granules thereof",Import,5,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,372464,627995,Weight in kilograms,627995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,6218,10850,Weight in kilograms,10850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",Import,17774,800,Weight in kilograms,800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",Import,426,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,236657,274618,Weight in kilograms,274618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,269046,221663,Weight in kilograms,221663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,6182,5183,Weight in kilograms,5183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,104017,43919,Weight in kilograms,43919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Import,439,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,21104,19812,Weight in kilograms,19812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,175646,156851,Weight in kilograms,156851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,6997,2368,Weight in kilograms,2368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, cold-rolled, of a width less than 600mm, containing by weight less than 0.25% of carbon",Import,14,16,Weight in kilograms,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,3450,4051,Weight in kilograms,4051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with tin",Import,26,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,29265,24028,Weight in kilograms,24028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,9469,4875,Weight in kilograms,4875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,7147,1642,Weight in kilograms,1642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,13243,4283,Weight in kilograms,4283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,15,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, of free-cutting steel",Import,269285,499788,Weight in kilograms,499788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,3751,1000,Weight in kilograms,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,137144,47192,Weight in kilograms,47192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,522503,1210860,Weight in kilograms,1210860
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,207479,489664,Weight in kilograms,489664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,396321,825799,Weight in kilograms,825799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Export,10326,26000,Weight in kilograms,26000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,99,75,Weight in kilograms,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,52755,106597,Weight in kilograms,106597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, of free-cutting steel, cold-formed or cold-finished, n.e.c. in chapter 72",Import,1594,1703,Weight in kilograms,1703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,5836,2074,Weight in kilograms,2074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; T sections, hot-rolled, hot-drawn or extruded, of a height less than 80mm",Import,275,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,144,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,181,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,23702,47827,Weight in kilograms,47827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,1761,2950,Weight in kilograms,2950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,2378,1635,Weight in kilograms,1635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,1546,2100,Weight in kilograms,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,18236,12485,Weight in kilograms,12485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,19138,19202,Weight in kilograms,19202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,90073,1055,Weight in kilograms,1055
